product_type,product_subtype,storage_duration,temperature,humidity,packaging_condition,target_class,target_status,group_id,paneer_mean_temperature,paneer_min_temperature,paneer_max_temperature,paneer_temperature_std,paneer_temperature_range,paneer_temperature_excursion_count,paneer_time_above_safe_threshold_ratio,paneer_mean_rh,paneer_min_rh,paneer_max_rh,paneer_rh_std,paneer_rh_range,paneer_compressor_on_ratio,paneer_compressor_cycle_count,paneer_fridge_open_count,paneer_fridge_open_ratio,paneer_storage_day,dryer_type,storage_months,storage_duration_days,dryer_type_CMD,dryer_type_TD,packaging_None,packaging_HDPE,packaging_LDPE,fruit_Mango,fruit_Pineapple
paneer,paneer,0,4.43,37.43,refrigerated,0,FRESH,0,4.43,2.3,7.0,1.2522379965485793,4.7,47.0,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1.0,1.0,0.0125,0.0,,,,,,,,,,
paneer,paneer,0,4.43,37.43,refrigerated,0,FRESH,0,4.43,2.3,7.0,1.2522379965485793,4.7,47.0,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1.0,1.0,0.0125,0.0,,,,,,,,,,
paneer,paneer,0,4.43,37.43,refrigerated,0,FRESH,0,4.43,2.3,7.0,1.2522379965485793,4.7,47.0,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1.0,1.0,0.0125,0.0,,,,,,,,,,
paneer,paneer,0,4.43,37.43,refrigerated,0,FRESH,0,4.43,2.3,7.0,1.2522379965485793,4.7,47.0,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1.0,1.0,0.0125,0.0,,,,,,,,,,
paneer,paneer,0,4.43,37.43,refrigerated,0,FRESH,0,4.43,2.3,7.0,1.2522379965485793,4.7,47.0,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1.0,1.0,0.0125,0.0,,,,,,,,,,
paneer,paneer,1,4.067391304347826,37.06739130434783,refrigerated,0,FRESH,1,4.067391304347826,2.3,5.7,1.0068002869960857,3.4000000000000004,75.0,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3.0,1.0,0.0072463768115942,1.0,,,,,,,,,,
paneer,paneer,1,4.067391304347826,37.06739130434783,refrigerated,0,FRESH,1,4.067391304347826,2.3,5.7,1.0068002869960857,3.4000000000000004,75.0,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3.0,1.0,0.0072463768115942,1.0,,,,,,,,,,
paneer,paneer,1,4.067391304347826,37.06739130434783,refrigerated,0,FRESH,1,4.067391304347826,2.3,5.7,1.0068002869960857,3.4000000000000004,75.0,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3.0,1.0,0.0072463768115942,1.0,,,,,,,,,,
paneer,paneer,1,4.067391304347826,37.06739130434783,refrigerated,0,FRESH,1,4.067391304347826,2.3,5.7,1.0068002869960857,3.4000000000000004,75.0,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3.0,1.0,0.0072463768115942,1.0,,,,,,,,,,
paneer,paneer,1,4.067391304347826,37.06739130434783,refrigerated,0,FRESH,1,4.067391304347826,2.3,5.7,1.0068002869960857,3.4000000000000004,75.0,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3.0,1.0,0.0072463768115942,1.0,,,,,,,,,,
paneer,paneer,2,3.743065693430657,36.74306569343065,refrigerated,0,FRESH,2,3.743065693430657,2.3,5.7,0.9826818377402315,3.4000000000000004,50.0,0.364963503649635,36.74306569343065,35.3,38.7,0.982681837740232,3.4000000000000057,0.656934306569343,2.0,1.0,0.0072992700729927,2.0,,,,,,,,,,
paneer,paneer,2,3.743065693430657,36.74306569343065,refrigerated,0,FRESH,2,3.743065693430657,2.3,5.7,0.9826818377402315,3.4000000000000004,50.0,0.364963503649635,36.74306569343065,35.3,38.7,0.982681837740232,3.4000000000000057,0.656934306569343,2.0,1.0,0.0072992700729927,2.0,,,,,,,,,,
